County;Purchasing Power
Sernancelhe;13
Santa Cruz da Graciosa;13
São Vicente;13
Sousel;12
Alfândega da Fé;12
Boticas;12
Nordeste;11
Meda;11
Penamacor;11
Vila Nova de Paiva;10
Fornos de Algodres;10
Mesão Frio;10
São Roque do Pico;9
Pampilhosa da Serra;9
Sardoal;9
Vimioso;8
Calheta (R.A.A.);8
Gavião;8
Góis;7
Castelo de Vide;7
Crato;7
Fronteira;6
Alter do Chão;6
Pedrógão Grande;6
Vila Velha de Ródão;5
Freixo de Espada à Cinta;5
Monforte;5
Vila de Rei;4
Arronches;4
Manteigas;4
Marvão;3
Castanheira de Pêra;3
Mourão;3
Santa Cruz das Flores;2
Alcoutim;2
Alvito;2
Penedono;1
Barrancos;1
Corvo;1
Lajes das Flores;1
Porto Moniz;1
