IpC, PPC e FDR por NUTS I, II, III e município, 2017;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
Sobral de Monte Agraço;103,37;0,105;-0,869;;;;;;;;;;;;;;;;
Torres Vedras;95,29;0,727;-0,170;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
   Região de Aveiro;91,61;3,232;-0,289;;;;;;;;;;;;;;;;
Águeda;86,49;0,389;-0,477;;;;;;;;;;;;;;;;
Albergaria-a-Velha;84,46;0,199;-0,527;;;;;;;;;;;;;;;;
Anadia;78,68;0,211;-0,348;;;;;;;;;;;;;;;;
Aveiro;123,09;0,929;-0,191;;;;;;;;;;;;;;;;
Estarreja;82,05;0,208;-0,472;;;;;;;;;;;;;;;;
Ílhavo;88,55;0,331;-0,223;;;;;;;;;;;;;;;;
Murtosa;69,26;0,069;0,137;;;;;;;;;;;;;;;;
Oliveira do Bairro;79,70;0,185;-0,306;;;;;;;;;;;;;;;;
Ovar;88,90;0,469;-0,275;;;;;;;;;;;;;;;;
Sever do Vouga;74,00;0,083;-0,326;;;;;;;;;;;;;;;;
Vagos;72,12;0,159;-0,013;;;;;;;;;;;;;;;;
   Região de Coimbra;93,69;3,978;-0,286;;;;;;;;;;;;;;;;
Arganil;68,20;0,074;0,036;;;;;;;;;;;;;;;;
Cantanhede;79,79;0,274;-0,022;;;;;;;;;;;;;;;;
Coimbra;128,71;1,678;-0,641;;;;;;;;;;;;;;;;
Condeixa-a-Nova;77,91;0,133;-0,468;;;;;;;;;;;;;;;;
Figueira da Foz;94,96;0,548;0,086;;;;;;;;;;;;;;;;
Góis;63,97;0,024;-0,016;;;;;;;;;;;;;;;;
Lousã;80,57;0,135;-0,458;;;;;;;;;;;;;;;;
Mealhada;86,91;0,169;-0,088;;;;;;;;;;;;;;;;
Mira;72,20;0,084;0,216;;;;;;;;;;;;;;;;
Miranda do Corvo;67,32;0,084;-0,364;;;;;;;;;;;;;;;;
Montemor-o-Velho;70,98;0,175;-0,277;;;;;;;;;;;;;;;;
Mortágua;74,13;0,064;-0,091;;;;;;;;;;;;;;;;
Oliveira do Hospital;74,52;0,142;-0,151;;;;;;;;;;;;;;;;
Pampilhosa da Serra;64,57;0,026;-0,240;;;;;;;;;;;;;;;;
Penacova;63,71;0,087;-0,284;;;;;;;;;;;;;;;;
Penela;69,97;0,037;-0,210;;;;;;;;;;;;;;;;
Soure;70,67;0,120;-0,326;;;;;;;;;;;;;;;;
Tábua;68,63;0,077;-0,134;;;;;;;;;;;;;;;;
Vila Nova de Poiares;70,54;0,048;0,088;;;;;;;;;;;;;;;;
   Região de Leiria;92,24;2,566;-0,303;;;;;;;;;;;;;;;;
Alvaiázere;66,51;0,043;-0,113;;;;;;;;;;;;;;;;
Ansião;73,46;0,088;-0,030;;;;;;;;;;;;;;;;
Batalha;84,76;0,131;-0,233;;;;;;;;;;;;;;;;
Castanheira de Pêra;65,62;0,017;-0,007;;;;;;;;;;;;;;;;
Figueiró dos Vinhos;65,48;0,036;0,045;;;;;;;;;;;;;;;;
Leiria;103,43;1,259;-0,419;;;;;;;;;;;;;;;;
Marinha Grande;98,49;0,369;-0,596;;;;;;;;;;;;;;;;
Pedrógão Grande;67,94;0,023;0,148;;;;;;;;;;;;;;;;
Pombal;82,15;0,418;0,032;;;;;;;;;;;;;;;;
Porto de Mós;80,18;0,183;-0,377;;;;;;;;;;;;;;;;
   Viseu Dão Lafões;80,04;1,980;-0,215;;;;;;;;;;;;;;;;
Aguiar da Beira;67,42;0,032;-0,078;;;;;;;;;;;;;;;;
Carregal do Sal;70,92;0,065;-0,068;;;;;;;;;;;;;;;;
Castro Daire;64,77;0,089;-0,201;;;;;;;;;;;;;;;;
Mangualde;82,42;0,151;-0,406;;;;;;;;;;;;;;;;
Nelas;77,10;0,099;-0,280;;;;;;;;;;;;;;;;
Oliveira de Frades;77,49;0,075;-0,460;;;;;;;;;;;;;;;;
Penalva do Castelo;58,36;0,041;-0,172;;;;;;;;;;;;;;;;
Santa Comba Dão;71,47;0,074;0,039;;;;;;;;;;;;;;;;
São Pedro do Sul;68,74;0,105;-0,215;;;;;;;;;;;;;;;;
Sátão;61,87;0,071;-0,015;;;;;;;;;;;;;;;;
Tondela;74,95;0,196;-0,251;;;;;;;;;;;;;;;;
Vila Nova de Paiva;62,65;0,029;0,072;;;;;;;;;;;;;;;;
Viseu;94,41;0,894;-0,221;;;;;;;;;;;;;;;;
Vouzela;63,97;0,061;-0,260;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
   Beira Baixa;85,41;0,679;-0,357;;;;;;;;;;;;;;;;
Castelo Branco;95,84;0,491;-0,500;;;;;;;;;;;;;;;;
Idanha-a-Nova;67,63;0,055;0,238;;;;;;;;;;;;;;;;
Oleiros;63,59;0,032;-0,242;;;;;;;;;;;;;;;;
Penamacor;60,56;0,029;0,006;;;;;;;;;;;;;;;;
Proença-a-Nova;68,97;0,050;-0,390;;;;;;;;;;;;;;;;
Vila Velha de Ródão;71,74;0,022;-0,207;;;;;;;;;;;;;;;;
   Médio Tejo;85,63;1,952;-0,327;;;;;;;;;;;;;;;;
Abrantes;89,19;0,311;-0,586;;;;;;;;;;;;;;;;
Alcanena;86,08;0,108;-0,208;;;;;;;;;;;;;;;;
Constância;83,05;0,032;-0,628;;;;;;;;;;;;;;;;
Entroncamento;98,52;0,201;-1,049;;;;;;;;;;;;;;;;
Ferreira do Zêzere;67,78;0,053;0,097;;;;;;;;;;;;;;;;
Mação;68,81;0,043;-0,365;;;;;;;;;;;;;;;;
Ourém;83,64;0,361;0,323;;;;;;;;;;;;;;;;
Sardoal;68,62;0,025;-0,192;;;;;;;;;;;;;;;;
Sertã;72,56;0,105;-0,212;;;;;;;;;;;;;;;;
Tomar;84,97;0,308;-0,305;;;;;;;;;;;;;;;;
Torres Novas;96,77;0,331;-0,618;;;;;;;;;;;;;;;;
Vila de Rei;66,24;0,021;-0,206;;;;;;;;;;;;;;;;
Vila Nova da Barquinha;72,25;0,052;-0,462;;;;;;;;;;;;;;;;
   Beiras e Serra da Estrela;78,49;1,649;-0,219;;;;;;;;;;;;;;;;
Almeida;74,22;0,044;0,274;;;;;;;;;;;;;;;;
Belmonte;71,27;0,045;-0,052;;;;;;;;;;;;;;;;
Celorico da Beira;65,04;0,045;0,110;;;;;;;;;;;;;;;;
Covilhã;86,58;0,401;-0,399;;;;;;;;;;;;;;;;
Figueira de Castelo Rodrigo;66,81;0,037;-0,233;;;;;;;;;;;;;;;;
Fornos de Algodres;58,81;0,027;-0,078;;;;;;;;;;;;;;;;
Fundão;77,94;0,205;-0,053;;;;;;;;;;;;;;;;
Gouveia;65,91;0,081;-0,130;;;;;;;;;;;;;;;;
Guarda;96,20;0,369;-0,576;;;;;;;;;;;;;;;;
Manteigas;63,85;0,019;0,023;;;;;;;;;;;;;;;;
Mêda;62,06;0,028;-0,006;;;;;;;;;;;;;;;;
Pinhel;62,82;0,053;-0,181;;;;;;;;;;;;;;;;
Sabugal;63,44;0,068;0,307;;;;;;;;;;;;;;;;
Seia;76,15;0,168;-0,171;;;;;;;;;;;;;;;;
Trancoso;66,65;0,059;-0,087;;;;;;;;;;;;;;;;
  A. M. Lisboa;124,10;34,171;-0,020;;;;;;;;;;;;;;;;
Alcochete;118,78;0,223;-0,280;;;;;;;;;;;;;;;;
Almada;108,69;1,786;-0,373;;;;;;;;;;;;;;;;
Amadora;100,59;1,759;-0,613;;;;;;;;;;;;;;;;
Barreiro;100,02;0,736;-0,649;;;;;;;;;;;;;;;;
Cascais;122,11;2,512;1,109;;;;;;;;;;;;;;;;
Lisboa;219,63;10,801;1,287;;;;;;;;;;;;;;;;
Loures;92,26;1,878;-0,217;;;;;;;;;;;;;;;;
Mafra;96,28;0,779;0,275;;;;;;;;;;;;;;;;
Moita;81,95;0,515;-0,631;;;;;;;;;;;;;;;;
Montijo;99,23;0,543;-0,381;;;;;;;;;;;;;;;;
Odivelas;89,30;1,370;-0,494;;;;;;;;;;;;;;;;
Oeiras;156,53;2,665;-1,165;;;;;;;;;;;;;;;;
Palmela;98,13;0,612;-0,343;;;;;;;;;;;;;;;;
Seixal;89,69;1,446;-0,378;;;;;;;;;;;;;;;;
Sesimbra;90,03;0,449;0,467;;;;;;;;;;;;;;;;
Setúbal;107,54;1,216;-0,273;;;;;;;;;;;;;;;;
Sintra;94,14;3,531;-0,388;;;;;;;;;;;;;;;;
Vila Franca de Xira;98,38;1,350;-0,741;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
  Alentejo;90,13;6,236;-0,334;;;;;;;;;;;;;;;;
   Alentejo Litoral;92,45;0,842;0,464;;;;;;;;;;;;;;;;
Alcácer do Sal;81,48;0,094;0,425;;;;;;;;;;;;;;;;
Grândola;85,94;0,122;3,310;;;;;;;;;;;;;;;;
Odemira;81,69;0,196;0,579;;;;;;;;;;;;;;;;
Santiago do Cacém;92,30;0,259;-0,584;;;;;;;;;;;;;;;;
Sines;128,74;0,171;-0,541;;;;;;;;;;;;;;;;
   Baixo Alentejo;85,29;0,977;-0,491;;;;;;;;;;;;;;;;
Aljustrel;87,90;0,072;-0,375;;;;;;;;;;;;;;;;
Almodôvar;79,49;0,053;-0,318;;;;;;;;;;;;;;;;
Alvito;66,68;0,016;-0,169;;;;;;;;;;;;;;;;
Barrancos;63,35;0,010;-0,284;;;;;;;;;;;;;;;;
Beja;105,31;0,346;-0,799;;;;;;;;;;;;;;;;
Castro Verde;102,10;0,070;-0,885;;;;;;;;;;;;;;;;
Cuba;67,88;0,031;-0,403;;;;;;;;;;;;;;;;
Ferreira do Alentejo;72,97;0,056;-0,086;;;;;;;;;;;;;;;;
Mértola;66,56;0,041;-0,129;;;;;;;;;;;;;;;;
Moura;77,45;0,105;-0,583;;;;;;;;;;;;;;;;
Ourique;77,28;0,036;-0,031;;;;;;;;;;;;;;;;
Serpa;72,84;0,103;-0,390;;;;;;;;;;;;;;;;
Vidigueira;72,81;0,039;-0,213;;;;;;;;;;;;;;;;
   Lezíria do Tejo;90,74;2,105;-0,393;;;;;;;;;;;;;;;;
Almeirim;86,17;0,191;-0,547;;;;;;;;;;;;;;;;
Alpiarça;77,14;0,054;-0,561;;;;;;;;;;;;;;;;
Azambuja;106,20;0,231;-0,109;;;;;;;;;;;;;;;;
Benavente;94,40;0,276;-0,473;;;;;;;;;;;;;;;;
Cartaxo;86,51;0,201;-0,535;;;;;;;;;;;;;;;;
Chamusca;71,72;0,065;-0,391;;;;;;;;;;;;;;;;
Coruche;76,77;0,134;-0,250;;;;;;;;;;;;;;;;
Golegã;82,59;0,044;-0,328;;;;;;;;;;;;;;;;
Rio Maior;90,24;0,179;-0,444;;;;;;;;;;;;;;;;
Salvaterra de Magos;77,46;0,161;-0,389;;;;;;;;;;;;;;;;
Santarém;101,40;0,570;-0,356;;;;;;;;;;;;;;;;
   Alto Alentejo;85,92;0,894;-0,471;;;;;;;;;;;;;;;;
Alter do Chão;72,91;0,023;-0,400;;;;;;;;;;;;;;;;
Arronches;71,97;0,020;-0,357;;;;;;;;;;;;;;;;
Avis;74,14;0,031;-0,431;;;;;;;;;;;;;;;;
Campo Maior;94,02;0,073;-1,012;;;;;;;;;;;;;;;;
Castelo de Vide;81,63;0,024;-0,170;;;;;;;;;;;;;;;;
Crato;72,78;0,023;-0,259;;;;;;;;;;;;;;;;
Elvas;88,98;0,182;-0,334;;;;;;;;;;;;;;;;
Fronteira;79,03;0,023;-0,480;;;;;;;;;;;;;;;;
Gavião;71,82;0,024;-0,381;;;;;;;;;;;;;;;;
Marvão;64,82;0,020;0,137;;;;;;;;;;;;;;;;
Monforte;73,87;0,022;-0,553;;;;;;;;;;;;;;;;
Nisa;73,16;0,045;-0,229;;;;;;;;;;;;;;;;
Ponte de Sor;84,38;0,125;-0,480;;;;;;;;;;;;;;;;
Portalegre;104,12;0,229;-0,751;;;;;;;;;;;;;;;;
Sousel;69,02;0,030;0,015;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
   Alentejo Central;94,40;1,418;-0,511;;;;;;;;;;;;;;;;
Alandroal;64,52;0,032;-0,060;;;;;;;;;;;;;;;;
Arraiolos;73,32;0,050;-0,264;;;;;;;;;;;;;;;;
Borba;73,86;0,049;-0,358;;;;;;;;;;;;;;;;
Estremoz;93,91;0,118;-0,489;;;;;;;;;;;;;;;;
Évora;117,31;0,603;-0,681;;;;;;;;;;;;;;;;
Montemor-o-Novo;86,75;0,134;-0,523;;;;;;;;;;;;;;;;
Mora;82,43;0,034;-0,467;;;;;;;;;;;;;;;;
Mourão;69,93;0,017;-0,192;;;;;;;;;;;;;;;;
Portel;64,79;0,037;-0,071;;;;;;;;;;;;;;;;
Redondo;71,85;0,045;-0,320;;;;;;;;;;;;;;;;
Reguengos de Monsaraz;89,44;0,088;-0,326;;;;;;;;;;;;;;;;
Vendas Novas;95,23;0,105;-0,741;;;;;;;;;;;;;;;;
Viana do Alentejo;79,25;0,040;-0,516;;;;;;;;;;;;;;;;
Vila Viçosa;83,44;0,063;-0,541;;;;;;;;;;;;;;;;
  Algarve;99,10;4,233;3,153;;;;;;;;;;;;;;;;
Albufeira;112,04;0,444;7,237;;;;;;;;;;;;;;;;
Alcoutim;67,53;0,015;0,060;;;;;;;;;;;;;;;;
Aljezur;63,08;0,034;4,174;;;;;;;;;;;;;;;;
Castro Marim;71,74;0,044;3,078;;;;;;;;;;;;;;;;
Faro;132,50;0,784;0,305;;;;;;;;;;;;;;;;
Lagoa;89,77;0,198;4,176;;;;;;;;;;;;;;;;
Lagos;93,78;0,278;5,584;;;;;;;;;;;;;;;;
Loulé;105,92;0,711;4,951;;;;;;;;;;;;;;;;
Monchique;61,85;0,032;1,200;;;;;;;;;;;;;;;;
Olhão;81,13;0,354;0,788;;;;;;;;;;;;;;;;
Portimão;103,45;0,556;2,781;;;;;;;;;;;;;;;;
São Brás de Alportel;84,78;0,086;0,986;;;;;;;;;;;;;;;;
Silves;76,86;0,271;1,301;;;;;;;;;;;;;;;;
Tavira;91,97;0,224;3,449;;;;;;;;;;;;;;;;
Vila do Bispo;64,62;0,032;7,785;;;;;;;;;;;;;;;;
Vila Real de Santo António;91,83;0,169;2,233;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
 R. A. Açores;87,29;2,069;-0,358;;;;;;;;;;;;;;;;
  Santa Maria;89,70;0,049;-0,600;;;;;;;;;;;;;;;;
Vila do Porto;89,70;0,049;-0,600;;;;;;;;;;;;;;;;
  São Miguel;88,57;1,183;-0,312;;;;;;;;;;;;;;;;
Lagoa (R.A.A.);74,24;0,106;-0,403;;;;;;;;;;;;;;;;
Nordeste;62,47;0,030;-0,015;;;;;;;;;;;;;;;;
Ponta Delgada;107,75;0,713;-0,389;;;;;;;;;;;;;;;;
Povoação;66,28;0,039;0,589;;;;;;;;;;;;;;;;
Ribeira Grande;71,12;0,226;-0,431;;;;;;;;;;;;;;;;
Vila Franca do Campo;65,02;0,070;0,020;;;;;;;;;;;;;;;;
  Terceira;87,03;0,469;-0,497;;;;;;;;;;;;;;;;
Angra do Heroísmo;94,74;0,314;-0,703;;;;;;;;;;;;;;;;
Vila da Praia da Vitória;74,73;0,156;-0,169;;;;;;;;;;;;;;;;
  Graciosa;73,13;0,030;-0,262;;;;;;;;;;;;;;;;
Santa Cruz da Graciosa;73,13;0,030;-0,262;;;;;;;;;;;;;;;;
  São Jorge;80,81;0,066;-0,249;;;;;;;;;;;;;;;;
Calheta (R.A.A.);77,12;0,024;-0,138;;;;;;;;;;;;;;;;
Velas;83,12;0,042;-0,318;;;;;;;;;;;;;;;;
  Pico;80,97;0,108;-0,228;;;;;;;;;;;;;;;;
Lajes do Pico;70,03;0,031;-0,242;;;;;;;;;;;;;;;;
Madalena;89,09;0,051;-0,139;;;;;;;;;;;;;;;;
São Roque do Pico;81,51;0,026;-0,367;;;;;;;;;;;;;;;;
  Faial;90,66;0,129;-0,391;;;;;;;;;;;;;;;;
Horta;90,66;0,129;-0,391;;;;;;;;;;;;;;;;
  Flores;82,90;0,029;-0,411;;;;;;;;;;;;;;;;
Lajes das Flores;74,78;0,011;-0,055;;;;;;;;;;;;;;;;
Santa Cruz das Flores;88,44;0,019;-0,653;;;;;;;;;;;;;;;;
  Corvo;76,16;0,003;-0,014;;;;;;;;;;;;;;;;
Corvo;76,16;0,003;-0,014;;;;;;;;;;;;;;;;
 R. A. Madeira;86,51;2,138;0,262;;;;;;;;;;;;;;;;
Calheta (R.A.M.);62,80;0,067;0,661;;;;;;;;;;;;;;;;
Câmara de Lobos;58,27;0,192;-0,101;;;;;;;;;;;;;;;;
Funchal;114,28;1,160;0,430;;;;;;;;;;;;;;;;
Machico;78,16;0,154;-0,164;;;;;;;;;;;;;;;;
Ponta do Sol;55,19;0,046;0,411;;;;;;;;;;;;;;;;
Porto Moniz;56,92;0,013;1,486;;;;;;;;;;;;;;;;
Ribeira Brava;68,43;0,083;-0,022;;;;;;;;;;;;;;;;
Santa Cruz;71,51;0,309;0,137;;;;;;;;;;;;;;;;
Santana;58,29;0,039;0,270;;;;;;;;;;;;;;;;
São Vicente;61,02;0,031;0,499;;;;;;;;;;;;;;;;
Porto Santo;93,53;0,047;0,752;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
