Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Demand_rel_county,Parish_variation_abs,Parish_variation_rel
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,45-54,0.0378,6.668492027399999,0.010795800323584931
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,55-64,0.0378,-7.9073357328,-0.009115274467745588
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,65+,0.0378,-19.665748052999998,-0.012193155847935188
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Female,15-24,0.037224,9.001171472832,0.0305960188516833
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Female,25-34,0.037224,-25.073508757968,-0.023180736335999392
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Female,35-44,0.037224,9.026840063736,0.038275814844336356
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Female,45-54,0.037224,-10.04149077624,-0.011940632592642936
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Female,55-64,0.037224,-17.684218787399995,-0.014541172167871144
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,15-24,0.037224,-18.663135613848,-0.016251041455003133
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,25-34,0.037224,-5.91017713308,-0.014007144645669918
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,35-44,0.037224,21.808210618656005,0.1583775571252738
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,45-54,0.037224,6.566876910791999,0.010631292890082683
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,55-64,0.037224,-7.7868429978239995,-0.008976375047284702
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,Male,65+,0.037224,-19.36607951124,-0.012007355377871414
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Female,15-24,0.029157,7.050482393976,0.023965401935808348
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Female,25-34,0.029157,-19.639702741674,-0.018157122537844784
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Female,35-44,0.029157,7.070588215623,0.029980870766610657
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Female,45-54,0.029157,-7.86534887607,-0.009352918130874976
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Female,55-64,0.029157,-13.851782913824998,-0.0113898817133736
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,15-24,0.029157,-14.618553758138997,-0.012729196639359723
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,25-34,0.029157,-4.629352962315,-0.010971585977697124
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,35-44,0.029157,17.082043762308004,0.12405476125890845
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,45-54,0.029157,5.143736032880999,0.00832733201150174
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,55-64,0.029157,-6.099317141832,-0.007031059726350743
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,Male,65+,0.029157,-15.169159152945,-0.00940518108619699
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,15-24,0.022297,5.391659153496001,0.01832687063013063
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,25-34,0.022297,-15.018913195154001,-0.013885151463673395
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,35-44,0.022297,5.407034518083,0.02292703211863765
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,45-54,0.022297,-6.01480549747,-0.007152382466101428
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,55-64,0.022297,-10.592763440325,-0.008710093375967733
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,15-24,0.022297,-11.179129990918998,-0.00973429699447144
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,25-34,0.022297,-3.5401681586150007,-0.008390213415122022
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,35-44,0.022297,13.063015048468003,0.09486740788798168
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,45-54,0.022297,3.9335282205009996,0.006368094174999291
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,55-64,0.022297,-4.664282138472,-0.005376806211833952
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,65+,0.022297,-11.600190061845,-0.007192349098979124
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Female,15-24,0.021183,5.122281735144,0.017411225750462264
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Female,25-34,0.021183,-14.268540082206,-0.013191423216351686
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Female,35-44,0.021183,5.136888917637,0.02178155453061404
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Female,45-54,0.021183,-5.71429451733,-0.006795036003921001
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Female,55-64,0.021183,-10.063529082674998,-0.008274920750913777
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,15-24,0.021183,-10.620599659040998,-0.009247953232896287
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,25-34,0.021183,-3.3632947079850006,-0.00797102259373592
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,35-44,0.021183,12.410362280652002,0.09012765400238221
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,45-54,0.021183,3.7370017623389993,0.006049932228955016
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,55-64,0.021183,-4.431245842008,-0.005108170874345365
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,Male,65+,0.021183,-11.020622777955,-0.006833005828751616
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Female,15-24,0.020464,4.948419649152,0.01682024848970683
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Female,25-34,0.020464,-13.784232839647999,-0.012743675810764334
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Female,35-44,0.020464,4.962531030096,0.021042238205848357
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Female,45-54,0.020464,-5.52033814864,-0.006564396770251587
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Female,55-64,0.020464,-9.721949636399998,-0.00799405080709529
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Male,15-24,0.020464,-10.260111949327998,-0.008934056316762952
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,Male,25-34,0.020464,-3.2491367088800005,-0.007700467656054942
