County_of_Origin,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Parish_variation_abs,Parish_variation_rel
Amadora,Carnide,Female,35-44,11.890286428248,0.05041746597484151
Amadora,Carnide,Female,45-54,-13.22679926232,-0.015728376780637987
Amadora,Carnide,Female,55-64,-23.293912948199996,-0.019153845737563343
Amadora,Carnide,Male,15-24,-24.583356582263995,-0.02140611069798285
Amadora,Carnide,Male,25-34,-7.78497220044,-0.01845041683501202
Amadora,Carnide,Male,35-44,28.726095611808006,0.20861724642613436
Amadora,Carnide,Male,45-54,8.649986801255999,0.014003695276878737
Amadora,Carnide,Male,55-64,-10.256944064832,-0.011823813166732847
Amadora,Carnide,Male,65+,-25.50928461732,-0.015816265014178786
Amadora,Alfragide,Female,15-24,9.618998496072,0.03269608408287959
Amadora,Alfragide,Female,25-34,-26.794517109478,-0.024771827603420372
Amadora,Alfragide,Female,35-44,9.646428940881,0.04090300985097937
Amadora,Alfragide,Female,45-54,-10.73072376929,-0.012760219855543289
Amadora,Alfragide,Female,55-64,-18.898037264775,-0.015539256599660064
Amadora,Alfragide,Male,15-24,-19.944145486332996,-0.01736648877172173
Amadora,Alfragide,Male,25-34,-6.315842901805001,-0.01496857422254738
Amadora,Alfragide,Male,35-44,23.305093762076005,0.16924835710526184
Amadora,Alfragide,Male,45-54,7.017617575606999,0.011361009023065739
Amadora,Alfragide,Male,55-64,-8.321320320504,-0.009592500080752691
Amadora,Alfragide,Male,65+,-20.695338407415,-0.012831522393518884
Amadora,Estrela,Female,15-24,9.355908162888001,0.031801809730025755
Amadora,Estrela,Female,25-34,-26.061657193062,-0.024094290500111557
Amadora,Estrela,Female,35-44,9.382588354449,0.0397842669283854
Amadora,Estrela,Female,45-54,-10.437226510410001,-0.01241121361599903
Amadora,Estrela,Female,55-64,-18.381154875975,-0.015114240606788697
Amadora,Estrela,Male,15-24,-19.398650871357,-0.01689149594174528
Amadora,Estrela,Male,25-34,-6.143097556845001,-0.014559167028949462
Amadora,Estrela,Male,35-44,22.667673464604007,0.1646192258417679
Amadora,Estrela,Male,45-54,6.825677910902999,0.011050272759783718
Amadora,Estrela,Male,55-64,-8.093722932216,-0.00933013450877102
Amadora,Estrela,Male,65+,-20.129297828535,-0.01248056595006509
Amadora,Campolide,Female,15-24,9.146983486536,0.031091650685112406
Amadora,Campolide,Female,25-34,-25.479680200614,-0.023556246329836907
Amadora,Campolide,Female,35-44,9.173067888753,0.03889585343103136
Amadora,Campolide,Female,45-54,-10.20415515777,-0.012134061602243293
Amadora,Campolide,Female,55-64,-17.970689449574998,-0.014776727906567316
Amadora,Campolide,Male,15-24,-18.965463971228996,-0.016514295753234567
Amadora,Campolide,Male,25-34,-6.005917429965001,-0.014234049551680526
Amadora,Campolide,Male,35-44,22.161486757788005,0.16094315101487566
Amadora,Campolide,Male,45-54,6.6732552359909985,0.010803511609530348
Amadora,Campolide,Male,55-64,-7.912983829751999,-0.009121785378079691
Amadora,Campolide,Male,65+,-19.679795015895,-0.012201865244969426
Amadora,Santo António,Female,15-24,9.140454590400001,0.031069458214958864
Amadora,Santo António,Female,25-34,-25.4614934196,-0.023539432449515823
Amadora,Santo António,Female,35-44,9.166520374200001,0.03886809050923905
Amadora,Santo António,Female,45-54,-10.196871678,-0.012125400601813427
Amadora,Santo António,Female,55-64,-17.957862404999997,-0.014766180634685397
Amadora,Santo António,Male,15-24,-18.9519268806,-0.016502508247343606
Amadora,Santo António,Male,25-34,-6.001630551000001,-0.014223889630515874
Amadora,Santo António,Male,35-44,22.145668423200004,0.1608282736765353
Amadora,Santo António,Male,45-54,6.668492027399999,0.010795800323584931
Amadora,Santo António,Male,55-64,-7.9073357328,-0.009115274467745588
Amadora,Santo António,Male,65+,-19.665748052999998,-0.012193155847935188
Amadora,Lumiar,Female,15-24,9.001171472832,0.0305960188516833
Amadora,Lumiar,Female,25-34,-25.073508757968,-0.023180736335999392
Amadora,Lumiar,Female,35-44,9.026840063736,0.038275814844336356
Amadora,Lumiar,Female,45-54,-10.04149077624,-0.011940632592642936
Amadora,Lumiar,Female,55-64,-17.684218787399995,-0.014541172167871144
Amadora,Lumiar,Male,15-24,-18.663135613848,-0.016251041455003133
Amadora,Lumiar,Male,25-34,-5.91017713308,-0.014007144645669918
Amadora,Lumiar,Male,35-44,21.808210618656005,0.1583775571252738
Amadora,Lumiar,Male,45-54,6.566876910791999,0.010631292890082683
Amadora,Lumiar,Male,55-64,-7.7868429978239995,-0.008976375047284702
Amadora,Lumiar,Male,65+,-19.36607951124,-0.012007355377871414
Amadora,Alcântara,Female,15-24,7.050482393976,0.023965401935808348
Amadora,Alcântara,Female,25-34,-19.639702741674,-0.018157122537844784
Amadora,Alcântara,Female,35-44,7.070588215623,0.029980870766610657
Amadora,Alcântara,Female,45-54,-7.86534887607,-0.009352918130874976
Amadora,Alcântara,Female,55-64,-13.851782913824998,-0.0113898817133736
Amadora,Alcântara,Male,15-24,-14.618553758138997,-0.012729196639359723
Amadora,Alcântara,Male,25-34,-4.629352962315,-0.010971585977697124
Amadora,Alcântara,Male,35-44,17.082043762308004,0.12405476125890845
Amadora,Alcântara,Male,45-54,5.143736032880999,0.00832733201150174
Amadora,Alcântara,Male,55-64,-6.099317141832,-0.007031059726350743
Amadora,Alcântara,Male,65+,-15.169159152945,-0.00940518108619699
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,15-24,5.391659153496001,0.01832687063013063
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,25-34,-15.018913195154001,-0.013885151463673395
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,35-44,5.407034518083,0.02292703211863765
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,45-54,-6.01480549747,-0.007152382466101428
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Female,55-64,-10.592763440325,-0.008710093375967733
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,15-24,-11.179129990918998,-0.00973429699447144
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,25-34,-3.5401681586150007,-0.008390213415122022
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,35-44,13.063015048468003,0.09486740788798168
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,45-54,3.9335282205009996,0.006368094174999291
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,55-64,-4.664282138472,-0.005376806211833952
Amadora,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Male,65+,-11.600190061845,-0.007192349098979124
Amadora,Avenidas Novas,Female,15-24,5.122281735144,0.017411225750462264
Amadora,Avenidas Novas,Female,25-34,-14.268540082206,-0.013191423216351686
Amadora,Avenidas Novas,Female,35-44,5.136888917637,0.02178155453061404
Amadora,Avenidas Novas,Female,45-54,-5.71429451733,-0.006795036003921001
Amadora,Avenidas Novas,Female,55-64,-10.063529082674998,-0.008274920750913777
Amadora,Avenidas Novas,Male,15-24,-10.620599659040998,-0.009247953232896287
Amadora,Avenidas Novas,Male,25-34,-3.3632947079850006,-0.00797102259373592
Amadora,Avenidas Novas,Male,35-44,12.410362280652002,0.09012765400238221
Amadora,Avenidas Novas,Male,45-54,3.7370017623389993,0.006049932228955016
Amadora,Avenidas Novas,Male,55-64,-4.431245842008,-0.005108170874345365
Amadora,Avenidas Novas,Male,65+,-11.020622777955,-0.006833005828751616
Amadora,Parque das Nações,Female,15-24,4.948419649152,0.01682024848970683
Amadora,Parque das Nações,Female,25-34,-13.784232839647999,-0.012743675810764334
Amadora,Parque das Nações,Female,35-44,4.962531030096,0.021042238205848357
Amadora,Parque das Nações,Female,45-54,-5.52033814864,-0.006564396770251587
Amadora,Parque das Nações,Female,55-64,-9.721949636399998,-0.00799405080709529
Amadora,Parque das Nações,Male,15-24,-10.260111949327998,-0.008934056316762952
Amadora,Parque das Nações,Male,25-34,-3.2491367088800005,-0.007700467656054942
Amadora,Parque das Nações,Male,35-44,11.989125889216002,0.08706851302954016
Amadora,Parque das Nações,Male,45-54,3.6101592817119994,0.005844583540260371
Amadora,Parque das Nações,Male,55-64,-4.280839112064,-0.004934787743596447
Amadora,Parque das Nações,Male,65+,-10.646557358639999,-0.006601077811432425
Amadora,Santa Maria Maior,Female,15-24,4.200498325128001,0.014277977742117738
Amadora,Santa Maria Maior,Female,25-34,-11.700836036822,-0.01081755240953808
Amadora,Santa Maria Maior,Female,35-44,4.212476862969,0.017861841276084433
Amadora,Santa Maria Maior,Female,45-54,-4.68597507721,-0.0055722310543412975
Amadora,Santa Maria Maior,Female,55-64,-8.252540418974998,-0.006785802217066668
Amadora,Santa Maria Maior,Male,15-24,-8.709363011716999,-0.007583732030809678
Amadora,Santa Maria Maior,Male,25-34,-2.7580509074450004,-0.006536592242637335
Amadora,Santa Maria Maior,Male,35-44,10.177047782524003,0.07390867571521414
Amadora,Santa Maria Maior,Male,45-54,3.064507275343,0.004961212894735286
Amadora,Santa Maria Maior,Male,55-64,-3.633818227896,-0.004188926793100757
Amadora,Santa Maria Maior,Male,65+,-9.037399720335001,-0.005603367995621221
Amadora,Águas Livres,Female,15-24,3.934022638392,0.013372196182517612
Amadora,Águas Livres,Female,25-34,-10.958545937657998,-0.010131296997914627
Amadora,Águas Livres,Female,35-44,3.945241268991,0.016728702764412965
Amadora,Águas Livres,Female,45-54,-4.38870119919,-0.005218733925685255
Amadora,Águas Livres,Female,55-64,-7.729006970024998,-0.0063553172684046744
Amadora,Águas Livres,Male,15-24,-8.156849164562997,-0.007102627160741617
Amadora,Águas Livres,Male,25-34,-2.583082736355,-0.006121916941768855
Amadora,Águas Livres,Male,35-44,9.531425385636,0.0692199784244326
Amadora,Águas Livres,Male,45-54,2.870097798776999,0.004646478186888974
Amadora,Águas Livres,Male,55-64,-3.4032921967439997,-0.003923185193538438
Amadora,Águas Livres,Male,65+,-8.464075531065,-0.005247895568520041
Amadora,Arroios,Female,15-24,3.104127396216,0.010551286643000712
Amadora,Arroios,Female,25-34,-8.646803995433999,-0.007994065988212557
Amadora,Arroios,Female,35-44,3.112979419143,0.013199726927701102
Amadora,Arroios,Female,45-54,-3.4628899928699997,-0.004117824537711083
Amadora,Arroios,Female,55-64,-6.098547081824999,-0.00501464182030308
Amadora,Arroios,Male,15-24,-6.436134533498999,-0.00560430418971296
Amadora,Arroios,Male,25-34,-2.0381727879150002,-0.004830478073728366
Amadora,Arroios,Male,35-44,7.5207393002280005,0.05461779230649956
Amadora,Arroios,Male,45-54,2.2646410623209996,0.0036662880622714217
Amadora,Arroios,Male,55-64,-2.685356317512,-0.003095576146625664
Amadora,Arroios,Male,65+,-6.678550469745,-0.004140834434390053
Amadora,Campo de Ourique,Female,15-24,3.032793160656,0.01030881335798979
Amadora,Campo de Ourique,Female,25-34,-8.448096573244,-0.007810358777297023
Amadora,Campo de Ourique,Female,35-44,3.041441760138,0.012896391300711008
Amadora,Campo de Ourique,Female,45-54,-3.3833112324199996,-0.004023195088569947
Amadora,Campo de Ourique,Female,55-64,-5.958399742949998,-0.004899403109000641
Amadora,Campo de Ourique,Male,15-24,-6.288229284033998,-0.005475514773496918
Amadora,Campo de Ourique,Male,25-34,-1.9913346658900002,-0.0047194715276701075
Amadora,Campo de Ourique,Male,35-44,7.347909348248001,0.05336265101722502
Amadora,Campo de Ourique,Male,45-54,2.2125985980859997,0.003582035123238153
Amadora,Campo de Ourique,Male,55-64,-2.6236456285919996,-0.003024438422604898
Amadora,Campo de Ourique,Male,65+,-6.52507439367,-0.004045676207534474
Amadora,Misericórdia,Female,15-24,3.0045012774,0.010212645987324442
Amadora,Misericórdia,Female,25-34,-8.36928718885,-0.007737498629238998
Amadora,Misericórdia,Female,35-44,3.013069197075,0.01277608530627765
Amadora,Misericórdia,Female,45-54,-3.35174948675,-0.003985664086707192
Amadora,Misericórdia,Female,55-64,-5.902815883124999,-0.004853698264178996
Amadora,Misericórdia,Male,15-24,-6.229568557974999,-0.00542443558130276
Amadora,Misericórdia,Male,25-34,-1.9727581903750002,-0.0046754452026232735
Amadora,Misericórdia,Male,35-44,7.279363231700001,0.052864849217750025
Amadora,Misericórdia,Male,45-54,2.1919580275249997,0.0035486195508080097
Amadora,Misericórdia,Male,55-64,-2.5991705418,-0.002996224477823781
Amadora,Misericórdia,Male,65+,-6.464204221125,-0.00400793548705277
Amadora,Areeiro,Female,15-24,2.4253640090400004,0.008244091690371361
Amadora,Areeiro,Female,25-34,-6.75605235446,-0.006246045171128141
Amadora,Areeiro,Female,35-44,2.4322804061700003,0.010313411317663166
Amadora,Areeiro,Female,45-54,-2.7056778553000003,-0.0032174012707986426
Amadora,Areeiro,Female,55-64,-4.76500952175,-0.003918116184282924
Amadora,Areeiro,Male,15-24,-5.02877848181,-0.004378840151345407
Amadora,Areeiro,Male,25-34,-1.5924961488500002,-0.0037742225659807994
Amadora,Areeiro,Male,35-44,5.876218367320002,0.04267480383533463
Amadora,Areeiro,Male,45-54,1.76944378399,0.002864599927131134
Amadora,Areeiro,Male,55-64,-2.09816342328,-0.0024186826167060384
Amadora,Areeiro,Male,65+,-5.21818658655,-0.003235379713089681
Amadora,Marvila,Female,15-24,1.565000584896,0.005319617290137931
Amadora,Marvila,Female,25-34,-4.359438767504,-0.00403034938659435
Amadora,Marvila,Female,35-44,1.569463488408,0.006654875179253839
Amadora,Marvila,Female,45-54,-1.74587707672,-0.002076073880818426
Amadora,Marvila,Female,55-64,-3.0746900921999996,-0.0025282201340657115
Amadora,Marvila,Male,15-24,-3.2448907611439997,-0.0028255088194922705
Amadora,Marvila,Male,25-34,-1.0275807652400002,-0.0024353707325052575
Amadora,Marvila,Male,35-44,3.791713387168001,0.027536523471813134
Amadora,Marvila,Male,45-54,1.141758740776,0.001848423801434965
Amadora,Marvila,Male,55-64,-1.353869758272,-0.0015606893215674457
Amadora,Marvila,Male,65+,-3.36710903172,-0.0020876747261332415
Amadora,Ajuda,Female,15-24,1.4436114789599999,0.004907001733949852
Amadora,Ajuda,Female,25-34,-4.021299357539999,-0.0037177357598838483
Amadora,Ajuda,Female,35-44,1.44772821783,0.006138690485189341
Amadora,Ajuda,Female,45-54,-1.6104583046999998,-0.0019150434283816443
Amadora,Ajuda,Female,55-64,-2.8362020782499995,-0.0023321190050019
Amadora,Ajuda,Male,15-24,-2.993201150189999,-0.002606348524778871
Amadora,Ajuda,Male,25-34,-0.94787657115,-0.002246471457517983
Amadora,Ajuda,Male,35-44,3.49760953668,0.025400655921928986
Amadora,Ajuda,Male,45-54,1.0531983440099997,0.0017050510034868262
Amadora,Ajuda,Male,55-64,-1.24885699272,-0.001439634618318549
Amadora,Ajuda,Male,65+,-3.1059395734499997,-0.0019257444553484938
Amadora,Santa Clara,Female,15-24,1.0373690527200001,0.003526136924396125
Amadora,Santa Clara,Female,25-34,-2.88967742778,-0.00267153876212759
Amadora,Santa Clara,Female,35-44,1.04032731231,0.004411219795889829
Amadora,Santa Clara,Female,45-54,-1.1572640079,-0.0013761367349677145
Amadora,Santa Clara,Female,55-64,-2.03807486025,-0.0016758443101269936
Amadora,Santa Clara,Male,15-24,-2.15089328883,-0.0018729037137858223
Amadora,Santa Clara,Male,25-34,-0.6811374355500002,-0.0016142985850506112
Amadora,Santa Clara,Male,35-44,2.5133576067600005,0.01825273264741631
Amadora,Santa Clara,Male,45-54,0.7568209205699999,0.0012252376557719406
Amadora,Santa Clara,Male,55-64,-0.89741984904,-0.0010345113086409675
Amadora,Santa Clara,Male,65+,-2.2319063266500003,-0.0013838264176624857
Amadora,Penha de França,Female,15-24,0.61903607808,0.002104174947891394
Amadora,Penha de França,Female,25-34,-1.7243762739200001,-0.0015942049489619185
Amadora,Penha de França,Female,35-44,0.6208013798400001,0.0026323362884564014
Amadora,Penha de França,Female,45-54,-0.6905817856,-0.0008211911518688459
Amadora,Penha de França,Female,55-64,-1.2161938559999999,-0.001000037630285572
Amadora,Penha de França,Male,15-24,-1.28351674112,-0.0011176301881798845
Amadora,Penha de França,Male,25-34,-0.40645963520000006,-0.0009633110437598052
Amadora,Penha de França,Male,35-44,1.4998124646400004,0.01089207356116218
Amadora,Penha de França,Male,45-54,0.45162274047999995,0.0007311441488988737
Amadora,Penha de França,Male,55-64,-0.53552326656,-0.000617330757603934
Amadora,Penha de França,Male,65+,-1.3318601856,-0.000825779866950108
Amadora,Falagueira-Venda Nova,Female,15-24,0.424861870776,0.0014441544466582733
Amadora,Falagueira-Venda Nova,Female,25-34,-1.183487934874,-0.001094147693486754
Amadora,Falagueira-Venda Nova,Female,35-44,0.42607344702300004,0.001806646429225741
Amadora,Falagueira-Venda Nova,Female,45-54,-0.47396570207000005,-0.0005636065835287352
Amadora,Falagueira-Venda Nova,Female,55-64,-0.8347080488249999,-0.0006863539517233398
Amadora,Falagueira-Venda Nova,Male,15-24,-0.8809136383389999,-0.0007670610314968973
Amadora,Falagueira-Venda Nova,Male,25-34,-0.2789646793150001,-0.00066114746245546
Amadora,Falagueira-Venda Nova,Male,35-44,1.0293634767080002,0.007475536424594511
Amadora,Falagueira-Venda Nova,Male,45-54,0.309961388681,0.0005018047928184847
Amadora,Falagueira-Venda Nova,Male,55-64,-0.367544679432,-0.0004236914613711375
Amadora,Falagueira-Venda Nova,Male,65+,-0.914093103945,-0.000566755947746617
Amadora,Beato,Female,15-24,0.33490819068,0.001138391524542805
Amadora,Beato,Female,25-34,-0.9329145075699999,-0.0008624897868407253
Amadora,Beato,Female,35-44,0.335863246515,0.00142413506230942
Amadora,Beato,Female,45-54,-0.37361553635,-0.00044427724427279354
Amadora,Beato,Female,55-64,-0.6579798791249999,-0.0005410359835724675
Amadora,Beato,Male,15-24,-0.6944026118949999,-0.0006046553947770078
Amadora,Beato,Male,25-34,-0.21990101357500003,-0.0005211663264091133
Amadora,Beato,Male,35-44,0.8114219779400001,0.005892781985238131
Amadora,Beato,Male,45-54,0.24433495920499995,0.0003955604086816171
Amadora,Beato,Male,55-64,-0.28972645476,-0.0003339855856568158
Amadora,Beato,Male,65+,-0.7205571707249999,-0.00044675981083042946
Amadora,União das freguesias de Carnaxide e Queijas,Female,15-24,0.30419819774400003,0.0010340047204872554
Amadora,União das freguesias de Carnaxide e Queijas,Female,25-34,-0.847369278356,-0.0007834022757008176
Amadora,União das freguesias de Carnaxide e Queijas,Female,35-44,0.305065678062,0.0012935465042492784
Amadora,União das freguesias de Carnaxide e Queijas,Female,45-54,-0.33935620558,-0.00040353846447305
Amadora,União das freguesias de Carnaxide e Queijas,Female,55-64,-0.5976452620499999,-0.0004914247417575193
Amadora,União das freguesias de Carnaxide e Queijas,Male,15-24,-0.6307281485659999,-0.0005492104596602714
Amadora,União das freguesias de Carnaxide e Queijas,Male,25-34,-0.19973680511000003,-0.0004733770675975918
Amadora,União das freguesias de Carnaxide e Queijas,Male,35-44,0.7370172189520001,0.005352433023414852
Amadora,União das freguesias de Carnaxide e Queijas,Male,45-54,0.22193023731399997,0.0003592888044198371
Amadora,União das freguesias de Carnaxide e Queijas,Male,55-64,-0.263159480208,-0.0003033601926038082
Amadora,União das freguesias de Carnaxide e Queijas,Male,65+,-0.65448441933,-0.0004057933877434515
Amadora,União das freguesias de Moscavide e Portela,Female,15-24,0.26454119899199996,0.0008992060128879628
Amadora,União das freguesias de Moscavide e Portela,Female,25-34,-0.7369014233079999,-0.0006812735211579447
Amadora,União das freguesias de Moscavide e Portela,Female,35-44,0.265295589666,0.00112491246077004
Amadora,União das freguesias de Moscavide e Portela,Female,45-54,-0.29511580994,-0.0003509309063064521
Amadora,União das freguesias de Moscavide e Portela,Female,55-64,-0.5197328431499999,-0.00042735983106734985
Amadora,União das freguesias de Moscavide e Portela,Male,15-24,-0.5485028573379999,-0.0004776122757299975
Amadora,União das freguesias de Moscavide e Portela,Male,25-34,-0.17369798473,-0.00041166495385672923
Amadora,União das freguesias de Moscavide e Portela,Male,35-44,0.6409354829360001,0.004654659560902899
Amadora,União das freguesias de Moscavide e Portela,Male,45-54,0.19299815550199995,0.00031244988238100297
Amadora,União das freguesias de Moscavide e Portela,Male,55-64,-0.22885252094399997,-0.00026381244094480615
Amadora,União das freguesias de Moscavide e Portela,Male,65+,-0.56916212619,-0.00035289186501696017
Amadora,São Vicente,Female,15-24,0.222224279592,0.0007553659285594496
Amadora,São Vicente,Female,25-34,-0.619024138958,-0.0005722946672250012
Amadora,São Vicente,Female,35-44,0.222857995341,0.0009449675973013409
Amadora,São Vicente,Female,45-54,-0.24790807069,-0.0002947947924091677
Amadora,São Vicente,Female,55-64,-0.43659459127499994,-0.0003589978836845471
Amadora,São Vicente,Male,15-24,-0.4607624551129999,-0.00040121177458488826
Amadora,São Vicente,Male,25-34,-0.145912658105,-0.0003458136129747113
Amadora,São Vicente,Male,35-44,0.5384092402360001,0.003910084219807829
Amadora,São Vicente,Male,45-54,0.16212550722699998,0.0002624693253273691
Amadora,São Vicente,Male,55-64,-0.192244485144,-0.00022161209618672473
Amadora,São Vicente,Male,65+,-0.478116996315,-0.0002964420694246676
Amadora,Encosta do Sol,Female,15-24,0.18982160988,0.0006452255211307595
Amadora,Encosta do Sol,Female,25-34,-0.52876381837,-0.0004888480019277757
Amadora,Encosta do Sol,Female,35-44,0.190362923115,0.0008071812447024511
Amadora,Encosta do Sol,Female,45-54,-0.21176043035,-0.0002518105680535328
Amadora,Encosta do Sol,Female,55-64,-0.37293444412499993,-0.0003066521639742867
Amadora,Encosta do Sol,Male,15-24,-0.3935783756949999,-0.0003427108194223474
Amadora,Encosta do Sol,Male,25-34,-0.12463703657500001,-0.000295390300527909
Amadora,Encosta do Sol,Male,35-44,0.4599034315400001,0.003339952244340746
Amadora,Encosta do Sol,Male,45-54,0.13848587940499998,0.00022419849878344366
Amadora,Encosta do Sol,Male,55-64,-0.16421318916,-0.00018929868934339383
Amadora,Encosta do Sol,Male,65+,-0.408402439725,-0.00025321765451399793
Amadora,União das freguesias de Pontinha e Famões,Female,15-24,0.174587518896,0.0005934430907724947
Amadora,União das freguesias de Pontinha e Famões,Female,25-34,-0.48632799600399995,-0.000449615614511916
Amadora,União das freguesias de Pontinha e Famões,Female,35-44,0.175085389158,0.0007424010938537193
Amadora,União das freguesias de Pontinha e Famões,Female,45-54,-0.19476564422,-0.00023160156705051042
Amadora,União das freguesias de Pontinha e Famões,Female,55-64,-0.3430046734499999,-0.0002820418629164777
Amadora,União das freguesias de Pontinha e Famões,Male,15-24,-0.36199183089399994,-0.00031520663901010807
Amadora,União das freguesias de Pontinha e Famões,Male,25-34,-0.11463431899000001,-0.00027168381781038256
Amadora,União das freguesias de Pontinha e Famões,Male,35-44,0.42299398416800005,0.0030719051215465205
Amadora,União das freguesias de Pontinha e Famões,Male,45-54,0.12737172602599997,0.00020620549824413542
Amadora,União das freguesias de Pontinha e Famões,Male,55-64,-0.151034296272,-0.0001741065652304845
Amadora,União das freguesias de Pontinha e Famões,Male,65+,-0.37562619297,-0.00023289572810077262
Amadora,União das freguesias de Sacavém e Prior Velho,Female,15-24,0.16225515952800001,0.0005515239804824709
Amadora,União das freguesias de Sacavém e Prior Velho,Female,25-34,-0.451975187422,-0.0004178560627943153
Amadora,União das freguesias de Sacavém e Prior Velho,Female,35-44,0.162717861669,0.0006899600193571271
Amadora,União das freguesias de Sacavém e Prior Velho,Female,45-54,-0.18100796021,-0.00021524189957187329
