,Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
28,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,9.2e-05
29,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.001733
30,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.14311
31,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,3.3e-05
32,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.004391
33,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.000212
34,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.069997
35,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.031596
36,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.067214
37,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.019116
38,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.064407
39,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.17016
40,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.043705
41,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.059044
42,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.016061
43,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00361
44,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.047561
45,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.012074
46,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.009714
47,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.009393
48,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.188608
49,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.19751
50,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.024302
51,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.045162
52,R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.002162
53,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.0035
54,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.003113
55,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.047146
56,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,7.6e-05
57,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.001054
58,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,6.4e-05
59,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.003896
60,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.000322
61,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00248
62,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.087793
63,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.004811
64,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,2.9e-05
65,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00088
66,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.000118
67,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.066059
68,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.1343
69,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.046279
70,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.030997
71,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.041734
72,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.023105
73,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.246656
74,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.085409
75,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.053413
76,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000765
77,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.154564
78,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.10959
79,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.415096
80,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.022479
81,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.038098
82,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.01275
83,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.187554
84,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.088904
85,R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.005491
86,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.002107
87,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.002424
88,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.040608
89,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000242
90,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000477
91,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000641
92,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000172
93,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000411
94,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.210377
95,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Belém,2.6e-05
96,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.004131
97,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000191
98,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.059847
99,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.081601
100,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.162226
101,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.205461
102,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.165056
103,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.090845
104,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.046313
105,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.077038
106,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.210287
107,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.085125
108,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.035885
109,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.040399
110,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.036746
111,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.0783
112,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.171416
113,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.108018
114,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.036552
115,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.090242
116,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.766823
117,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.012134
118,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.101018
119,R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.03559
120,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.000126
121,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.002012
122,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,5.3e-05
123,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.000474
124,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.000296
125,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.000554
126,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.008518
127,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.005436
128,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.000868
129,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.002538
130,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.00102
131,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.052341
132,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.059552
133,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.050321
134,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.24121
135,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.030403
136,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.024883
137,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.024332
138,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.04802
139,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.180072
140,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.166229
141,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.019112
142,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.02413
143,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.012776
144,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.264795
145,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.059992
146,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.016615
147,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.029593
148,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.044237
149,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.003801
150,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.000834
151,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.001662
152,R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.480464
153,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.000249
154,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.00065
155,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.000219
156,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.015106
157,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.0003
158,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.000223
159,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.001733
160,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.006553
161,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.001173
162,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.005842
163,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.0005
164,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.049032
165,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.012955
166,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.017475
167,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.006788
168,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.013647
169,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.104564
170,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.009609
171,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.017442
172,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.004062
173,R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,7.6e-05
174,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.001949
175,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.016016
176,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.003719
177,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.004581
178,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.014149
179,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.006637
180,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.004914
181,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.008731
182,R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,2.2e-05
183,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.002223
184,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.010152
185,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,5e-06
186,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.000189
187,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,6.2e-05
188,R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,1e-05
189,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,6e-06
190,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.000163
191,R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.000783
192,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,1.5e-05
193,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.001219
194,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,1e-06
195,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.039779
196,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.009247
197,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001133
198,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001822
199,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.003077
200,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001192
201,R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.006674
202,R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.00439
203,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001025
204,R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000405
205,R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001671
206,R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001249
207,R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000501
208,R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.00036
209,R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000581
210,R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000783
211,R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.001312
212,R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000333
213,R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.000805
214,R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.018048
215,R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,1.3e-05
216,R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,1.2e-05
217,R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,5e-06
218,R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,3e-06
219,R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,1e-06
220,R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.015593
221,R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,1.1e-05
222,R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,5e-06
223,R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,1.9e-05
224,R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.038691
225,R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.087703
226,R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.076267
227,R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.011091
228,R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.066473
229,R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.01888
