PanelID,X,Y,Max_Visibi,Average_Da,geometry
1068,-8.425207,40.210634,69,76.0,POINT (-8.425207 40.210634)
48971,-8.421371,40.918168,69,76.0,POINT (-8.421371000000001 40.918168)
26068,-8.50857,40.878632,69,76.0,POINT (-8.508570000000001 40.878632)
45346,-7.23424,40.51068,109,76.0,POINT (-7.23424 40.51068)
30408,-8.655424,41.200556,69,77.0,POINT (-8.655424 41.200556)
20715,-7.922996,40.659223,75,77.0,POINT (-7.922996 40.659223)
17395,-8.854523,38.537508,69,77.0,POINT (-8.854523 38.537508)
22753,-8.400495,41.065082,69,77.0,POINT (-8.400494999999999 41.065082)
4817,-7.494074,39.822049,69,78.0,POINT (-7.494074 39.822049)
3092,-8.426407,41.552201,69,78.0,POINT (-8.426406999999999 41.552201)
26716,-8.377944,41.277851,69,78.0,POINT (-8.377943999999999 41.277851)
20716,-7.922996,40.659223,75,78.0,POINT (-7.922996 40.659223)
1782,-9.218161,38.654252,69,78.0,POINT (-9.218161 38.654252)
4871,-8.460542,40.1941,69,79.0,POINT (-8.460542 40.1941)
22614,-8.49616,41.088526,69,79.0,POINT (-8.49616 41.088526)
14669,-8.616909,40.863965,69,80.0,POINT (-8.616909 40.863965)
22415,-8.433464,41.066122,69,80.0,POINT (-8.433464000000001 41.066122)
22435,-8.416426,41.036961,69,80.0,POINT (-8.416426 41.036961)
6311,-7.505252,40.13934,75,80.0,POINT (-7.505252 40.13934)
6312,-7.505252,40.13934,75,80.0,POINT (-7.505252 40.13934)
32259,-8.422885,41.072811,69,80.0,POINT (-8.422885000000001 41.072811)
22613,-8.496156,41.088525,69,81.0,POINT (-8.496155999999999 41.088525)
30973,-8.749626,41.369109,69,82.0,POINT (-8.749625999999999 41.369109)
26579,-8.239782,41.179628,69,82.0,POINT (-8.239782 41.179628)
5022,-8.52564,40.19066,69,82.0,POINT (-8.525639999999999 40.19066)
32260,-8.422868,41.072819,69,82.0,POINT (-8.422867999999999 41.072819)
32123,-8.489583,41.506926,69,82.0,POINT (-8.489583 41.506926)
32412,-9.156727,38.760658,69,83.0,POINT (-9.156727 38.760658)
32124,-8.489593,41.506913,69,83.0,POINT (-8.489592999999999 41.506913)
26110,-8.510079,40.871821,69,84.0,POINT (-8.510078999999999 40.871821)
27866,-8.466882,41.353382,69,85.0,POINT (-8.466882 41.353382)
28436,-8.465076,41.059914,69,86.0,POINT (-8.465076 41.059914)
49261,-8.698463,41.227263,88,86.0,POINT (-8.698463 41.227263)
6737,-8.320868,41.507109,69,87.0,POINT (-8.320868000000001 41.507109)
11772,-9.335661,38.978125,69,88.0,POINT (-9.335661 38.978125)
31024,-8.647063,41.208292,69,88.0,POINT (-8.647062999999999 41.208292)
26593,-8.364439,41.050997,69,89.0,POINT (-8.364439000000001 41.050997)
31509,-9.127704,38.620224,69,89.0,POINT (-9.127704 38.620224)
22409,-8.391755,41.052583,69,90.0,POINT (-8.391755 41.052583)
1044,-8.208727,39.46306,69,90.0,POINT (-8.208727 39.46306)
20185,-8.81577,41.703535,145,90.0,POINT (-8.815770000000001 41.703535)
27694,-8.485878,40.944372,69,91.0,POINT (-8.485878 40.944372)
27867,-8.466883,41.353376,69,91.0,POINT (-8.466882999999999 41.353376)
26576,-8.223383,41.149647,69,91.0,POINT (-8.223383 41.149647)
32099,-9.212968,38.766356,69,91.0,POINT (-9.212968 38.766356)
27367,-9.405826,38.817624,69,91.0,POINT (-9.405825999999999 38.817624)
46513,-8.541944,41.416413,69,92.0,POINT (-8.541944000000001 41.416413)
6736,-8.320866,41.507111,69,92.0,POINT (-8.320866000000001 41.507111)
22383,-8.454256,41.071586,69,92.0,POINT (-8.454256000000001 41.071586)
30499,-8.646795,41.208303,69,93.0,POINT (-8.646794999999999 41.208303)
30410,-8.655433,41.20053,69,93.0,POINT (-8.655433 41.20053)
26617,-8.35513,41.050752,69,93.0,POINT (-8.355130000000001 41.050752)
1814,-9.15497,38.65507,69,93.0,POINT (-9.15497 38.65507)
30143,-7.190984,38.872579,145,94.0,POINT (-7.190984 38.872579)
4838,-7.487653,39.832846,145,95.0,POINT (-7.487653 39.832846)
3415,-8.383633,41.55357,69,95.0,POINT (-8.383633 41.55357)
32606,-8.465981,41.336547,69,96.0,POINT (-8.465980999999999 41.336547)
20359,-8.748719,41.360338,69,96.0,POINT (-8.748718999999999 41.360338)
26616,-8.355146,41.050768,69,96.0,POINT (-8.355146 41.050768)
21978,-8.388453,41.550014,69,96.0,POINT (-8.388453 41.550014)
1055,-8.193133,39.459073,69,96.0,POINT (-8.193133 39.459073)
32605,-8.465986,41.336563,69,97.0,POINT (-8.465985999999999 41.336563)
22469,-8.4145,41.042794,69,97.0,POINT (-8.4145 41.042794)
32170,-8.609409,41.017127,69,99.0,POINT (-8.609408999999999 41.017127)
32169,-8.609438,41.017119,69,99.0,POINT (-8.609438000000001 41.017119)
14652,-8.623332,40.860037,69,99.0,POINT (-8.623332 40.860037)
5232,-8.452402,40.28193,69,99.0,POINT (-8.452401999999999 40.28193)
48153,-8.321331,41.224764,78,99.0,POINT (-8.321331000000001 41.224764)
13124,-9.20021,38.765079,69,100.0,POINT (-9.20021 38.765079)
26108,-8.509708,40.871131,69,100.0,POINT (-8.509708 40.871131)
26272,-9.170427,38.787002,69,100.0,POINT (-9.170427 38.787002)
30498,-8.646766,41.208316,69,101.0,POINT (-8.646766 41.208316)
46896,-8.485824,40.944383,69,101.0,POINT (-8.485823999999999 40.944383)
20357,-8.748842,41.360324,69,101.0,POINT (-8.748842 41.360324)
27030,-9.140045,38.599558,69,101.0,POINT (-9.140045000000001 38.599558)
27888,-8.369351,41.338672,69,102.0,POINT (-8.369351 41.338672)
3091,-8.426395,41.552189,69,102.0,POINT (-8.426394999999999 41.552189)
17396,-8.854521,38.537508,69,102.0,POINT (-8.854521 38.537508)
5836,-9.096992,38.774788,69,102.0,POINT (-9.096992 38.774788)
30624,-8.65575,41.194078,69,103.0,POINT (-8.655749999999999 41.194078)
27660,-8.515081,40.9209,69,104.0,POINT (-8.515081 40.9209)
3168,-8.394068,41.556837,69,104.0,POINT (-8.394068000000001 41.556837)
26721,-8.385993,41.25418,69,105.0,POINT (-8.385992999999999 41.25418)
6562,-8.282792,41.444362,69,105.0,POINT (-8.282792000000001 41.444362)
23772,-9.10563,38.74087,69,105.0,POINT (-9.10563 38.74087)
45348,-7.223794,40.562829,145,107.0,POINT (-7.223794 40.562829)
11776,-9.317991,38.963881,69,107.0,POINT (-9.317990999999999 38.963881)
1037,-8.209307,39.463313,69,107.0,POINT (-8.209307000000001 39.463313)
26577,-8.223387,41.149649,69,107.0,POINT (-8.223387000000001 41.149649)
22386,-8.454163,41.071577,69,107.0,POINT (-8.454162999999999 41.071577)
28401,-8.462083,41.056799,69,108.0,POINT (-8.462083 41.056799)
1627,-9.243461,38.663417,69,108.0,POINT (-9.243461 38.663417)
30406,-8.655562,41.20058,69,108.0,POINT (-8.655562 41.20058)
28255,-8.648055,41.100502,69,108.0,POINT (-8.648054999999999 41.100502)
29020,-9.207984,38.780617,69,109.0,POINT (-9.207984 38.780617)
6762,-8.299986,41.423396,145,109.0,POINT (-8.299986000000001 41.423396)
32270,-8.421464,41.031938,69,111.0,POINT (-8.421464 41.031938)
12885,-8.664215,38.746845,69,111.0,POINT (-8.664215 38.746845)
26640,-8.246504,41.151306,69,112.0,POINT (-8.246504 41.151306)
30935,-8.664962,41.237779,69,113.0,POINT (-8.664961999999999 41.237779)
27599,-8.475959,40.942616,69,113.0,POINT (-8.475959 40.942616)
49128,-8.657856,38.740478,69,114.0,POINT (-8.657856000000001 38.740478)
28352,-8.627161,41.068042,69,115.0,POINT (-8.627160999999999 41.068042)
27905,-8.482894,41.367308,69,115.0,POINT (-8.482894 41.367308)
26131,-8.471672,40.788627,69,116.0,POINT (-8.471672 40.788627)
26309,-9.170344,38.786964,69,116.0,POINT (-9.170344 38.786964)
5249,-8.50906,40.191495,69,116.0,POINT (-8.50906 40.191495)
22649,-8.501875,41.097089,69,116.0,POINT (-8.501875 41.097089)
29617,-7.75865,40.596949,145,116.0,POINT (-7.75865 40.596949)
32269,-8.421487,41.031945,69,117.0,POINT (-8.421487000000001 41.031945)
12883,-8.657868,38.740491,69,117.0,POINT (-8.657868000000001 38.740491)
784,-7.892886,37.146421,145,117.0,POINT (-7.892886 37.146421)
30202,-9.243892,38.664042,145,117.0,POINT (-9.243892000000001 38.664042)
27366,-9.405826,38.817624,69,118.0,POINT (-9.405825999999999 38.817624)
30515,-8.641084,41.217041,69,118.0,POINT (-8.641083999999999 41.217041)
27648,-8.60501,40.98372,69,118.0,POINT (-8.60501 40.98372)
26080,-8.467714,40.855932,69,118.0,POINT (-8.467714000000001 40.855932)
8873,-9.147292,38.742263,69,118.0,POINT (-9.147292 38.742263)
27306,-9.311695,38.750785,69,119.0,POINT (-9.311695 38.750785)
20518,-9.034209,38.89031,69,120.0,POINT (-9.034209000000001 38.89031)
12882,-8.657856,38.740479,69,120.0,POINT (-8.657856000000001 38.740479)
419,-9.367792,38.736929,71,120.0,POINT (-9.367792 38.736929)
22215,-7.919734,38.57315,69,120.0,POINT (-7.919734 38.57315)
3249,-8.425709,41.544676,69,120.0,POINT (-8.425708999999999 41.544676)
22275,-7.902185,38.566068,69,121.0,POINT (-7.902185 38.566068)
6377,-8.302182,41.442075,69,121.0,POINT (-8.302182 41.442075)
21967,-8.375619,41.563281,69,121.0,POINT (-8.375619 41.563281)
27919,-8.440135,41.316963,69,121.0,POINT (-8.440135 41.316963)
32290,-8.432063,41.06003,69,122.0,POINT (-8.432062999999999 41.06003)
19335,-8.494478,40.894034,75,122.0,POINT (-8.494478000000001 40.894034)
1045,-8.208713,39.463059,69,123.0,POINT (-8.208712999999999 39.463059)
5187,-8.485342,40.200826,69,124.0,POINT (-8.485341999999999 40.200826)
49127,-8.657859,38.740479,69,124.0,POINT (-8.657859 38.740479)
26719,-8.368138,41.309874,69,124.0,POINT (-8.368138 41.309874)
1016,-9.081704,38.659785,69,124.0,POINT (-9.081704 38.659785)
18807,-9.310757,38.768888,69,124.0,POINT (-9.310757000000001 38.768888)
32289,-8.432072,41.060045,69,124.0,POINT (-8.432072 41.060045)
30404,-8.655571,41.200557,69,124.0,POINT (-8.655571 41.200557)
27787,-8.558856,40.92449,69,125.0,POINT (-8.558856 40.92449)
27125,-9.405914,38.815556,69,125.0,POINT (-9.405913999999999 38.815556)
3166,-8.391333,41.55783,69,125.0,POINT (-8.391332999999999 41.55783)
22397,-8.404163,41.073156,69,125.0,POINT (-8.404163 41.073156)
27161,-9.322954,38.831972,69,126.0,POINT (-9.322953999999999 38.831972)
20713,-7.923001,40.659194,75,127.0,POINT (-7.923001 40.659194)
27122,-9.405915,38.815576,69,127.0,POINT (-9.405915 38.815576)
18718,-9.305328,38.769829,69,128.0,POINT (-9.305327999999999 38.769829)
15024,-8.672697,41.155711,69,129.0,POINT (-8.672696999999999 41.155711)
25886,-8.630094,41.2687,69,129.0,POINT (-8.630094 41.2687)
9167,-9.189753,38.74895,69,129.0,POINT (-9.189753 38.74895)
31026,-8.647031,41.208306,69,129.0,POINT (-8.647031 41.208306)
20514,-9.034123,38.890351,69,130.0,POINT (-9.034122999999999 38.890351)
26586,-8.246235,41.151292,69,130.0,POINT (-8.246235 41.151292)
16534,-8.598507,41.149431,69,130.0,POINT (-8.598507 41.149431)
27939,-8.427527,41.355094,69,130.0,POINT (-8.427527 41.355094)
27309,-9.291058,38.748204,69,131.0,POINT (-9.291058 38.748204)
31491,-9.128028,38.620447,69,132.0,POINT (-9.128028 38.620447)
48955,-7.918885,40.672187,89,132.0,POINT (-7.918885 40.672187)
1710,-9.15503,38.65502,69,133.0,POINT (-9.15503 38.65502)
30405,-8.655559,41.200581,69,133.0,POINT (-8.655559 41.200581)
27796,-8.575498,40.927051,69,133.0,POINT (-8.575498 40.927051)
3087,-8.425589,41.552335,69,134.0,POINT (-8.425589 41.552335)
11128,-9.159037,38.838195,75,134.0,POINT (-9.159037 38.838195)
30500,-8.646953,41.208222,69,135.0,POINT (-8.646953 41.208222)
27672,-8.492644,40.993523,69,135.0,POINT (-8.492644 40.993523)
2122,-8.012546,37.135091,69,136.0,POINT (-8.012546 37.135091)
28976,-8.501813,41.013163,69,136.0,POINT (-8.501813 41.013163)
19350,-8.498246,40.890146,69,136.0,POINT (-8.498246 40.890146)
20714,-7.923001,40.659194,75,137.0,POINT (-7.923001 40.659194)
30514,-8.641085,41.217015,69,137.0,POINT (-8.641085 41.217015)
49295,-7.782256,39.572609,88,137.0,POINT (-7.782256 39.572609)
32444,-8.525377,41.277078,69,137.0,POINT (-8.525377000000001 41.277078)
28013,-8.620629,41.320763,69,138.0,POINT (-8.620628999999999 41.320763)
12884,-8.664199,38.746828,69,138.0,POINT (-8.664199 38.746828)
26587,-8.246231,41.151294,69,138.0,POINT (-8.246231 41.151294)
27138,-9.32849,38.867283,69,139.0,POINT (-9.32849 38.867283)
27092,-9.406151,38.817575,69,139.0,POINT (-9.406150999999999 38.817575)
6256,-8.89783,40.176318,69,140.0,POINT (-8.897830000000001 40.176318)
18806,-9.310755,38.768895,69,141.0,POINT (-9.310755 38.768895)
6750,-8.305283,41.44683,69,141.0,POINT (-8.305282999999999 41.44683)
26590,-8.368742,41.052297,69,141.0,POINT (-8.368741999999999 41.052297)
20266,-8.749011,41.360627,69,142.0,POINT (-8.749010999999999 41.360627)
12871,-8.58256,38.681001,69,143.0,POINT (-8.582560000000001 38.681001)
27111,-9.301427,38.871958,69,144.0,POINT (-9.301427 38.871958)
17391,-8.848345,38.537614,69,144.0,POINT (-8.848345 38.537614)
27918,-8.440127,41.316963,69,144.0,POINT (-8.440127 41.316963)
30963,-8.749512,41.36917,69,145.0,POINT (-8.749511999999999 41.36917)
5049,-8.445121,40.235832,69,145.0,POINT (-8.445121 40.235832)
14905,-8.617824,41.146257,69,146.0,POINT (-8.617824000000001 41.146257)
19382,-8.48405,40.8881,69,146.0,POINT (-8.48405 40.8881)
1147,-8.414451,40.519573,69,146.0,POINT (-8.414451 40.519573)
22398,-8.404163,41.073156,69,146.0,POINT (-8.404163 41.073156)
1258,-8.964373,38.753864,69,147.0,POINT (-8.964373 38.753864)
27009,-9.129319,38.60457,69,147.0,POINT (-9.129319000000001 38.60457)
16738,-8.535524,37.121343,69,147.0,POINT (-8.535524000000001 37.121343)
1042,-8.214174,39.464916,89,147.0,POINT (-8.214174 39.464916)
26701,-8.345647,41.289398,69,147.0,POINT (-8.345647 41.289398)
5182,-8.441925,40.261127,69,148.0,POINT (-8.441924999999999 40.261127)
17057,-9.082351,38.626769,69,148.0,POINT (-9.082350999999999 38.626769)
22468,-8.4145,41.042794,69,149.0,POINT (-8.4145 41.042794)
19766,-9.263193,39.0964,69,149.0,POINT (-9.263192999999999 39.0964)
22187,-8.62271,40.984694,69,150.0,POINT (-8.62271 40.984694)
32371,-8.668121,40.579907,69,150.0,POINT (-8.668120999999999 40.579907)
30917,-8.754113,41.373367,69,150.0,POINT (-8.754113 41.373367)
27731,-8.500867,40.909834,69,150.0,POINT (-8.500867 40.909834)
22394,-8.401198,41.067847,69,150.0,POINT (-8.401198000000001 41.067847)
48962,-9.101187,38.742449,69,150.0,POINT (-9.101186999999999 38.742449)
48957,-7.918463,40.672447,89,150.0,POINT (-7.918463 40.672447)
5223,-8.421954,40.180014,69,151.0,POINT (-8.421953999999999 40.180014)
6323,-7.484398,40.130564,145,151.0,POINT (-7.484398 40.130564)
30802,-8.623735,41.234114,69,152.0,POINT (-8.623735 41.234114)
22414,-8.433464,41.066122,69,152.0,POINT (-8.433464000000001 41.066122)
22337,-8.458711,41.105893,69,152.0,POINT (-8.458710999999999 41.105893)
26159,-8.479973,40.838427,69,153.0,POINT (-8.479972999999999 40.838427)
1144,-8.414372,40.519599,69,153.0,POINT (-8.414372 40.519599)
46546,-9.078283,38.652128,69,153.0,POINT (-9.078283000000001 38.652128)
11809,-8.603404,41.218073,69,153.0,POINT (-8.603403999999999 41.218073)
16932,-8.686879,39.236507,69,153.0,POINT (-8.686878999999999 39.236507)
24163,-9.106216,38.774259,69,154.0,POINT (-9.106216 38.774259)
15995,-8.646621,41.178072,69,154.0,POINT (-8.646621 41.178072)
30933,-8.664984,41.237761,69,154.0,POINT (-8.664984 41.237761)
12868,-8.582479,38.680841,69,154.0,POINT (-8.582478999999999 38.680841)
30876,-8.754019,41.373432,69,154.0,POINT (-8.754019 41.373432)
26736,-8.40309,41.294415,69,154.0,POINT (-8.403090000000001 41.294415)
30403,-8.655568,41.200556,69,154.0,POINT (-8.655568000000001 41.200556)
27652,-8.463453,41.008077,69,155.0,POINT (-8.463452999999999 41.008077)
47938,-8.564511,40.924101,78,155.0,POINT (-8.564511 40.924101)
2976,-9.081246,38.659443,69,155.0,POINT (-9.081246 38.659443)
26540,-8.298176,41.121928,69,155.0,POINT (-8.298176 41.121928)
28083,-8.62066,41.320446,69,156.0,POINT (-8.620660000000001 41.320446)
4881,-8.461962,40.21204,69,156.0,POINT (-8.461962 40.21204)
30018,-7.3339,40.758661,145,156.0,POINT (-7.3339 40.758661)
30407,-8.655428,41.200557,69,157.0,POINT (-8.655428000000001 41.200557)
25817,-8.5253,41.277118,69,157.0,POINT (-8.5253 41.277118)
22214,-7.9228,38.573628,69,157.0,POINT (-7.9228 38.573628)
32370,-8.668127,40.579909,69,157.0,POINT (-8.668127 40.579909)
31703,-8.673952,41.179201,69,157.0,POINT (-8.673952 41.179201)
25777,-8.588845,41.22699,69,158.0,POINT (-8.588844999999999 41.22699)
5316,-8.473896,40.206209,69,158.0,POINT (-8.473896 40.206209)
6814,-8.667107,37.132395,69,158.0,POINT (-8.667107 37.132395)
29684,-8.580612,39.475729,145,159.0,POINT (-8.580612 39.475729)
48961,-9.101171,38.742444,69,159.0,POINT (-9.101171000000001 38.742444)
4818,-7.494075,39.822048,69,159.0,POINT (-7.494075 39.822048)
15919,-8.57696,41.180813,69,160.0,POINT (-8.57696 41.180813)
32352,-8.683509,40.60784,69,160.0,POINT (-8.683509000000001 40.60784)
5381,-8.407713,40.206212,69,162.0,POINT (-8.407712999999999 40.206212)
46244,-8.683509,40.607839,69,162.0,POINT (-8.683509000000001 40.607839)
47009,-8.654337,40.640782,69,163.0,POINT (-8.654337 40.640782)
11767,-9.324981,38.970477,69,164.0,POINT (-9.324980999999999 38.970477)
1906,-9.231779,38.674006,69,164.0,POINT (-9.231779 38.674006)
31847,-8.685306,41.188225,69,165.0,POINT (-8.685306000000001 41.188225)
19336,-8.494478,40.894034,75,166.0,POINT (-8.494478000000001 40.894034)
11720,-9.286032,38.918464,69,166.0,POINT (-9.286032000000001 38.918464)
26737,-8.403097,41.294417,69,167.0,POINT (-8.403097000000001 41.294417)
26067,-8.508571,40.878634,69,168.0,POINT (-8.508571 40.878634)
