Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight,user_av,Avg_daily_travellers
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,Ermesinde,1e-05,7765.137315272727,0.07765137315272728
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,Alfena,9e-06,7765.137315272727,0.06988623583745456
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,SEIXAL,Corroios,9e-06,7765.137315272727,0.06988623583745456
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,"União das freguesias de Custóias, Leça do Balio e Guifões",8e-06,7765.137315272727,0.06212109852218182
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,SINTRA,União das freguesias de Queluz e Belas,7e-06,7765.137315272727,0.05435596120690909
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Mina de Água,7e-06,7765.137315272727,0.05435596120690909
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Bonfim,7e-06,7765.137315272727,0.05435596120690909
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Santo António dos Cavaleiros e Frielas,4e-06,7765.137315272727,0.03106054926109091
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,Loures,4e-06,7765.137315272727,0.03106054926109091
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",3e-06,7765.137315272727,0.023295411945818183
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,União das freguesias de Campo e Sobrado,3e-06,7765.137315272727,0.023295411945818183
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,SANTO TIRSO,Água Longa,3e-06,7765.137315272727,0.023295411945818183
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,Baguim do Monte (Rio Tinto),3e-06,7765.137315272727,0.023295411945818183
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",3e-06,7765.137315272727,0.023295411945818183
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Campanhã,2e-06,7765.137315272727,0.015530274630545455
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,2e-06,7765.137315272727,0.015530274630545455
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Recarei,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Lordelo,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,Gandra,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Águas Santas,1e-06,7765.137315272727,0.007765137315272727
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.068546,10121.25984627273,693.7718774226105
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.031596,10121.25984627273,319.7913261028331
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.1343,10121.25984627273,1359.2851973544275
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.081601,10121.25984627273,825.9049247157011
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.059552,10121.25984627273,602.7412663652336
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.012955,10121.25984627273,131.1209213084632
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.009247,10121.25984627273,93.59128979848393
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.087703,10121.25984627273,887.6648522976571
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,0.035949,10121.25984627273,363.84917021365834
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,0.067673,10121.25984627273,684.9360175768144
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,0.021105,10121.25984627273,213.60918905558594
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,0.059341,10121.25984627273,600.60568053767
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",0.018961,10121.25984627273,191.9092079451772
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,0.030572,10121.25984627273,309.42715602024987
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,0.042587,10121.25984627273,431.0340930732167
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Santa Maria Maior,0.038394,10121.25984627273,388.59565053779517
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Águas Livres,0.000341,10121.25984627273,3.4513496075790004
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Arroios,0.024232,10121.25984627273,245.25836859488078
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.040948,10121.25984627273,414.4453481851757
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.048569,10121.25984627273,491.5794694736202
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.013411,10121.25984627273,135.73621579836356
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.02235,10121.25984627273,226.21015756419547
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.020282,10121.25984627273,205.2793922021035
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.001136,10121.25984627273,11.497751185365821
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.006365,10121.25984627273,64.42181892152593
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.000452,10121.25984627273,4.574809450515273
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.004839,10121.25984627273,48.97677639611374
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.000434,10121.25984627273,4.392626773282364
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Moscavide e Portela,0.001387,10121.25984627273,14.038187406780276
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,São Vicente,0.011689,10121.25984627273,118.30740634308192
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Encosta do Sol,5.2e-05,10121.25984627273,0.5263055120061819
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Pontinha e Famões,6.6e-05,10121.25984627273,0.6680031498540002
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Sacavém e Prior Velho,0.000305,10121.25984627273,3.086984253113182
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Venteira,7.8e-05,10121.25984627273,0.7894582680092729
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,Odivelas,0.00014,10121.25984627273,1.416976378478182
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",0.000347,10121.25984627273,3.5120771666566366
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",6.6e-05,10121.25984627273,0.6680031498540002
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",0.000836,10121.25984627273,8.461373231484002
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Laranjeiro e Feijó,4.3e-05,10121.25984627273,0.4352141733897274
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,4.3e-05,10121.25984627273,0.4352141733897274
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,0.000163,10121.25984627273,1.649765354942455
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,1.5e-05,10121.25984627273,0.15181889769409093
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,0.000146,10121.25984627273,1.4777039375558185
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,7e-06,10121.25984627273,0.07084881892390911
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,Valongo,3.2e-05,10121.25984627273,0.32388031508072734
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Ramalde,4.4e-05,10121.25984627273,0.44533543323600006
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,1.2e-05,10121.25984627273,0.12145511815527275
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,3.5e-05,10121.25984627273,0.3542440946195455
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.1e-05,10121.25984627273,0.11133385830900001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças,5e-06,10121.25984627273,0.05060629923136365
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Paranhos,3e-05,10121.25984627273,0.30363779538818186
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,Ermesinde,1.5e-05,10121.25984627273,0.15181889769409093
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,Alfena,3e-06,10121.25984627273,0.03036377953881819
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,SEIXAL,Corroios,9e-06,10121.25984627273,0.09109133861645456
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,"União das freguesias de Custóias, Leça do Balio e Guifões",0.000211,10121.25984627273,2.135585827563546
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,SINTRA,União das freguesias de Queluz e Belas,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,Mina de Água,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Bonfim,7.4e-05,10121.25984627273,0.7489732286241819
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Santo António dos Cavaleiros e Frielas,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,Loures,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",1.1e-05,10121.25984627273,0.11133385830900001
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,União das freguesias de Campo e Sobrado,2e-06,10121.25984627273,0.02024251969254546
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,SANTO TIRSO,Água Longa,3e-06,10121.25984627273,0.03036377953881819
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,Baguim do Monte (Rio Tinto),2.5e-05,10121.25984627273,0.25303149615681825
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",1.1e-05,10121.25984627273,0.11133385830900001
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,Campanhã,3.5e-05,10121.25984627273,0.3542440946195455
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Santa Marinha e São Pedro da Afurada,0.000197,10121.25984627273,1.9938881897157275
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de São Mamede de Infesta e Senhora da Hora,9e-06,10121.25984627273,0.09109133861645456
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Recarei,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Lordelo,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Aguiar de Sousa,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Fânzeres e São Pedro da Cova,6.4e-05,10121.25984627273,0.6477606301614547
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,Gandra,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,SANTO TIRSO,Agrela,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,Rio Tinto,0.000311,10121.25984627273,3.147711812190819
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Folgosa,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Águas Santas,1e-05,10121.25984627273,0.1012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Moreira,6e-06,10121.25984627273,0.06072755907763638
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,União das freguesias de Mafamude e Vilar do Paraíso,3e-06,10121.25984627273,0.03036377953881819
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Vila Nova da Telha,1e-06,10121.25984627273,0.01012125984627273
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Nogueira e Silva Escura,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Castêlo da Maia,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Pedrouços,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,Milheirós,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,União das freguesias de Foz do Sousa e Covelo,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA DO CONDE,Aveleda,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,Canidelo,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,Madalena,0.0,10121.25984627273,0.0
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.039357,23273.827770454547,915.9880395617797
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.067214,23273.827770454547,1564.3270597633318
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.046279,23273.827770454547,1077.089475388866
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.162226,23273.827770454547,3775.6199838897596
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.050321,23273.827770454547,1171.1622872370433
